Time,??.?.-57,??.?.-57,?.?.-57,??.?.-57,??.?.-58,??.?.-58,?.?.-58,??.?.-58,??.?.-59,??.?.-59,?.?.-59,??.?.-59,??.?.-60,??.?.-60,?.?.-60,??.?.-60,??.?.-61,??.?.-61,?.?.-61,??.?.-61
15:30,513423.0876,575527.2976,615350.3174,539664.9051,409991.3765,446830.9543,448831.0297,493335.0248,234493.39,481184.87,245090.69,395488.29,448019.78,327608.07,382439.02,293330.66,296688.26,281721.84,301459.55,574648.5
15:45,402552.6936,577547.7404,699739.4213,490180.3199,432514.6254,437473.7676,459856.3508,566615.7109,258185.21,477895.2,326004.21,406710.65,349456.07,330058.74,387405.11,312329.5,363363.72,301176.44,313022.86,558057.34
16:00,524257.9138,602654.9453,670424.0687,581875.7716,536146.7924,466959.7461,465131.2589,594838.0525,302758.01,452502.62,598578.65,647281.46,461808.33,323308.06,402665.75,307559.52,435298.67,295665.84,315946.32,557404.45
16:15,654718.3877,641489.4947,503385.7034,701975.559,647686.7597,486124.2628,435832.5671,464032.0258,323771.05,550618.45,689678.21,653254.89,417622.2,408897.67,439995.92,308348.15,334781.91,282605.14,266318.62,545053.21
16:30,502846.2112,545946.8238,580050.9293,559146.8181,559759.7536,537248.2739,506749.0806,516046.1974,394590.9,521919.92,706960.42,650356.77,340480.96,375698.95,450716.18,320805.48,327363.41,243718.46,253860.16,575667.05
16:45,430590.0301,409429.8229,702503.3497,389625.9473,586597.7513,422916.6519,619292.9587,709207.9552,338846.42,394391.33,552101.8,701843.78,352595.82,320244.53,444739.46,280697.92,384705.09,253574.87,249526.86,571125.87
17:00,553547.9858,459857.0705,701404.5984,448743.8549,583267.3088,508847.1954,1197188.863,716397.9105,251108.87,381215.36,504562.92,743908.7,352304.75,328991.22,444850.85,299899.01,332418.34,269322.81,256303.22,569386.9
17:15,657013.2357,543174.3379,731884.066,412508.7617,576012.244,586463.3622,1507030.161,664760.1244,228912.75,372079.96,543600.31,797583.42,364088.19,301609.01,452195.87,271600.64,324014.06,285007.4,250854.26,589359.23
17:30,635989.5763,419955.5703,810385.7486,672517.0833,653025.3594,555012.8186,904603.2503,611334.7825,233194.11,382867.64,598770.03,795301.59,480527.24,314627.17,405229.99,254368.02,325559.9,267527.28,263784.45,600364.94
17:45,993972.3506,568935.9249,686791.5146,915191.3661,806982.1269,678138.0039,800463.6627,568681.6099,251104.01,351300.8,598540.02,758820.77,538959.58,329345.43,372269.44,336232.98,349959.97,242036.97,242935.01,575444.11
18:00,1000208.244,744776.0616,954884.2307,1242947.866,927001.3914,667125.3015,910648.417,649455.0141,264287.22,294436.69,629690.72,769119.53,418997.97,313396.35,355212.11,342814.61,426087.03,285778.62,245366.56,573789.04
18:15,985194.9988,635803.7972,1081106.578,914680.8459,893487.0373,825672.2782,1241689.569,947184.8062,326685.68,314654.23,617703.3,702984.73,441796.74,347264.14,410788.88,369474.01,374500.49,276603.51,278176.12,632912.46
18:30,1087982.602,672044.5039,1200433.294,1021538.151,937592.0107,1023039.458,1264891.798,979018.6918,396383.27,372024.51,610334.3,770045.14,481203.87,350085.8,397612.47,413959.19,425753.89,299996.09,282769.69,643881.96
18:45,1185378.124,879381.3558,1512828.546,1299184.304,1062652.505,1281812.279,1294042.196,1199431.294,444186.28,384725.35,607554.69,768394.18,584062.89,472698.23,431225.65,563525.96,503536.32,335035.25,298449.57,675451.92
19:00,1254100.362,929001.107,1235963.906,1208629.65,1166589.496,1044080.19,1269825.515,1094228.987,517194.96,508397.4,639249.85,745742.22,667883.92,557055.93,487334.34,523865.31,562048.34,351786.04,425517.93,708409.22
19:15,1711213.992,983011.0792,1197847.617,1436993.324,1514871.284,916499.2764,1195847.537,1043378.166,508388.26,559998.93,654188.44,760808.34,664627.67,571241.69,534214.55,649582.16,560809.82,404658.45,448208.67,782144.34
19:30,1788704.893,1618168.878,1284403.999,1749133.368,1632774.48,961215.0883,1309992.476,1087704.816,547473.46,612783.48,668519.05,797901.49,655858.96,617019.22,663263.93,624406.82,628280.5,455796.8,449200.89,915218.24
19:45,1294587.471,960707.8587,1165020.701,1313920.683,1171654.262,1169529.882,1284853.602,1322488.036,563532.54,622815.86,647990.99,774722.62,660189.9,582518.54,1079123.16,701316.96,682852.86,596510.37,456942.11,911617.07
20:00,1218498.796,993178.7476,1100803.402,953859.541,1032870.662,1023181.855,1257806.856,1186750.084,711147.8,594630.41,787482.11,758268.43,670275.55,584428.52,869428.9,773929.12,719211.37,610042.81,451293.95,902070.98
20:15,1193694.728,987156.0055,856994.6733,1158563.489,1313779.521,854402.1219,1151117.405,933310.5038,653199.01,832364.34,1115191.87,1047068.7,782712.72,572303.19,802666.93,802871.64,752604.88,634902.9,533132.28,1194900.22
20:30,1005725.217,1065280.105,788262.2364,1177731.576,1018943.242,829195.2147,1124769.679,911300.3374,751304.26,1072431.05,1186505.95,1224000.49,728108.24,764834.93,902061.49,1090911.35,912901.42,667838.6,654249.96,1246575.55
20:45,967308.3613,909804.7722,844674.1154,1015967.424,930596.3671,735890.8792,985258.298,770238.6608,769240.55,918372.27,1144953.55,1315716.37,645259.81,1207063.84,877791.83,944816.39,949047.18,782820.01,598784.06,1304517.61
21:00,813416.388,831665.4029,948803.7956,1123520.047,816189.2876,689934.0931,954874.2082,718151.9411,828730.84,761403,1059073.44,1171307.2,622765.81,993298.54,864961.68,1043604.97,1099184.68,838946.35,760947.14,1171756.04
21:15,830903.3694,860098.4325,817211.198,941558.176,888896.9245,826061.4493,1016111.166,870244.5656,801015.97,749337.57,1047615.02,1047299.8,627396.46,1019554.95,1192781.52,886092.41,1069376.89,918991.65,1065758.24,1126862.98
21:30,716629.0109,734856.0473,673053.2498,930141.1245,866211.0663,747252.3653,888810.603,857660.0644,809426.6,669725.32,1031698.05,1080888.96,696127.91,891439.88,1015689.16,895341.38,1081341.84,1001333.17,1035868.8,1169729.22
21:45,696950.0775,694113.1782,696915.6239,889052.2438,803880.1413,721298.1998,855157.3286,792035.323,724757.32,720307.55,976009.17,1078077.19,1016387.23,887431.67,963409.03,929191,934311.63,902391.68,1104511.11,1272318.86
22:00,623570.26,648363.3797,650552.0354,844179.692,800158.9959,697971.6793,788587.8475,743665.7911,725703.17,744710.6,897548.54,1124661.03,1110019.35,936250.83,844620.83,927813.31,941845.52,866275.42,1101452.32,1285607.23
22:15,666232.5657,629966.6591,690446.1626,739380.3309,733537.5725,665879.8698,777549.0198,717261.9306,690958.96,719953.31,846279.13,1085470.65,1012943.54,880693.44,752531.84,790966.42,898986.54,764567.38,1036368,1273089.4
22:30,641612.1208,633469.4507,574414.5205,747436.2434,710406.8624,647415.2874,695818.3753,668950.534,656797.72,701920.33,793552.85,1088372.08,914341.64,899808.34,828336.27,760846.47,852976.16,776215.18,849789.77,1167121.91
22:45,629798.497,575548.2193,479401.6209,567678.63,644549.9663,631394.5088,599177.8015,640847.9071,644940.87,582476.29,733432.53,1063169,690306.91,937696.22,749766.28,512800.98,846076.93,742975.15,955705.7,1193085.54
23:00,449831.5741,616473.5336,512814.3619,600956.3657,531501.9795,629555.1776,598361.3111,653110.1313,558487.81,558837.73,699718.89,1045028.31,636618.01,728449.7,800541.52,605598.08,694053.45,686695.36,925513.31,1139992.25
23:15,466862.4955,538849.4468,430753.6803,511357.4345,488766.9165,569760.0613,579050.9995,651338.1851,538234.19,552933.53,658122.93,918824.86,567560.59,695867.27,666736.11,486198.73,659414.44,611456.67,785796.59,915632.03
23:30,480982.3501,529441.0455,517052.0934,450072.7939,489249.362,455153.5307,494426.3391,519668.7438,510092.31,561482.63,651315.35,908964.7,526570.96,689874.15,635362.76,504052.5,582637.06,715206.51,537919.11,926750.33
23:45,445148.3167,501793.8771,445672.9352,528574.3805,564447.4662,438118.698,472894.1291,478934.3378,594925.72,541721.56,633325.96,963010.23,496883.45,804007.54,653393.12,744211.4,710065.64,705502.57,492844.93,967188.74
24:00,482472.7316,485404.9331,465927.2403,465803.5633,535538.2162,418341.31,505739.7872,450119.8926,537646.13,546273.8,657131.95,902480.15,491108.65,810572.74,613847.53,669025.57,624557.18,692377.08,632415.9,1021231.37
Total,56829854.01,52947944.28,58660346.3,54235758.3,55807926.09,51632763.29,63506280.3,56619411.93,,,,,,,,,,,,
